,weighted_mean,freq,min,max,std
NN NN ,0.7934864463291239,336443,0.6000135395,0.9626207132,0.09329846055724532
NN NP ,0.821547806246232,1964,0.609073432,0.9626207132,0.07581677579981398
NP NN ,0.8029791960084384,14683,0.6004937734,0.9626207132,0.09936256578138415
NP NP ,0.8282873760403575,6041,0.6004937734,0.9626207132,0.08585031584749858
VVG NN ,0.8171064317553757,61137,0.6023998961,0.9523407787,0.07697068876769615
JJ NNS ,0.8266754265619276,18520,0.6033821557,0.9521725253,0.08125758560909842
NP NNS ,0.8244747390665547,1190,0.6070520568,0.9521725253,0.08518863421744159
JJ NN ,0.8017101441936874,221900,0.6004803915,0.9500927393,0.07622675338509785
JJ NP ,0.8003331625804841,661,0.6040552689,0.9500927393,0.08180756216174219
NN NNS ,0.8315256407905948,33928,0.6001011673,0.9497438162,0.09125550322146853
NN VV ,0.8039707335970311,640,0.6122640979,0.9497410335,0.09089044990778307
VVG NP ,0.8089483989308944,123,0.6569855942,0.9484891049,0.08875787974240414
VV NN ,0.7721465452654589,4554,0.6014730951,0.947974442,0.0937381337787398
VVN NN ,0.8106310695302044,14041,0.6032048511,0.9461683727,0.07690955600142688
NN JJ ,0.7738894057922219,3047,0.6015367663,0.9456687217,0.09877341353487787
VV VV ,0.763200909570707,99,0.6207197967,0.9456687217,0.09888989516132979
VV JJ ,0.7419401102688726,408,0.6084076932,0.9456687217,0.09771512995188994
VVG JJ ,0.7971184909787596,645,0.6195802249,0.9454903384,0.11512644455665749
NN VVG ,0.7952952444811974,7015,0.6024496688,0.9451366039,0.09465521967931215
JJ JJ ,0.7628549147773701,31052,0.6025390221,0.9445519089,0.038533631759640044
NP JJ ,0.7687683068938224,259,0.609559941,0.9445519089,0.08308974324235589
VVD VV ,0.8050480915979167,48,0.6125624684,0.9440143653,0.1133856169422623
VVP VV ,0.8744353810533333,30,0.654395419,0.9440143653,0.07485075549114653
NN RB ,0.7527786876495575,904,0.6145788684,0.9437741661,0.06090942700882276
VVD NN ,0.8165412067793265,861,0.6084318405,0.9420693245,0.08795932975377904
